scan:1	SNR:12.3967	Cov:0.441176
scan:2	SNR:6.41026	Cov:0.326087
scan:3	SNR:14.8515	Cov:0.394737
scan:4	SNR:3.19149	Cov:0.230769
scan:5	SNR:11.5854	Cov:0.339286
scan:6	SNR:10.1266	Cov:0.470588
scan:7	SNR:15.1163	Cov:0.722222
scan:8	SNR:4.6729	Cov:0.25
scan:9	SNR:12.0253	Cov:0.431818
scan:10	SNR:5.24476	Cov:0.75
scan:11	SNR:7.17703	Cov:0.288462
scan:12	SNR:6.9697	Cov:0.547619
scan:13	SNR:12.9534	Cov:0.378788
scan:14	SNR:13.6364	Cov:0.617647
scan:15	SNR:10.0503	Cov:0.434783
scan:16	SNR:23.5294	Cov:0.571429
scan:17	SNR:18.5714	Cov:0.232143
scan:18	SNR:6.89655	Cov:0.185185
scan:19	SNR:25.7732	Cov:0.520833
scan:20	SNR:13.5593	Cov:0.307692
scan:21	SNR:7.97872	Cov:0.267857
scan:22	SNR:7.65027	Cov:0.170732
scan:23	SNR:7.54717	Cov:0.444444
scan:24	SNR:7.7381	Cov:0.8125
scan:25	SNR:12.5	Cov:0.708333
scan:26	SNR:5.83658	Cov:0.394737
scan:27	SNR:9.15493	Cov:0.216667
scan:28	SNR:8.03571	Cov:0.6
scan:29	SNR:3.3241	Cov:0.285714
scan:30	SNR:5.84416	Cov:0.195652
scan:31	SNR:7.27273	Cov:0.727273
scan:32	SNR:5.9322	Cov:0.259259
scan:33	SNR:9.00474	Cov:0.316667
scan:34	SNR:7.29614	Cov:0.607143
scan:35	SNR:6.47059	Cov:0.6875
scan:36	SNR:12.5	Cov:0.4375
scan:37	SNR:13	Cov:0.382353
scan:38	SNR:7.21154	Cov:0.625
scan:39	SNR:6.61765	Cov:0.36
scan:40	SNR:6.82927	Cov:0.304348
scan:41	SNR:7.31707	Cov:0.357143
scan:42	SNR:13.0137	Cov:0.395833
scan:43	SNR:12	Cov:0.705882
scan:44	SNR:6.38298	Cov:0.375
scan:45	SNR:6.17284	Cov:0.3125
scan:46	SNR:6.61157	Cov:0.4
scan:47	SNR:22.2222	Cov:0.5625
scan:48	SNR:6.45161	Cov:0.727273
scan:49	SNR:5.42986	Cov:0.315789
scan:50	SNR:8.82353	Cov:1.16667
scan:51	SNR:11.7021	Cov:0.733333
scan:52	SNR:24.1379	Cov:0.241379
scan:53	SNR:52.381	Cov:0.5
scan:54	SNR:5.92105	Cov:0.140625
scan:55	SNR:7	Cov:0.388889
scan:56	SNR:20.5479	Cov:0.357143
scan:57	SNR:5.38922	Cov:0.642857
scan:58	SNR:5.33333	Cov:0.129032
scan:59	SNR:6.13208	Cov:0.65
scan:60	SNR:15.2778	Cov:0.55
