scan:1	SNR:7.51445	Cov:0.590909
scan:2	SNR:14.1844	Cov:0.714286
scan:3	SNR:6.41711	Cov:0.25
scan:4	SNR:14.3836	Cov:0.4375
scan:5	SNR:10.2273	Cov:0.692308
scan:6	SNR:15.2672	Cov:0.666667
scan:7	SNR:19.1489	Cov:0.75
scan:8	SNR:12.2449	Cov:0.529412
scan:9	SNR:12.2449	Cov:0.818182
scan:10	SNR:13.3333	Cov:0.647059
scan:11	SNR:28.9157	Cov:0.545455
scan:12	SNR:4.41176	Cov:0.3
scan:13	SNR:10.4396	Cov:0.678571
scan:14	SNR:6.94444	Cov:0.769231
scan:15	SNR:4.54545	Cov:0.5
scan:16	SNR:4.44444	Cov:0.7
scan:17	SNR:8.33333	Cov:0.733333
scan:18	SNR:11.3333	Cov:0.772727
scan:19	SNR:5.66038	Cov:0.272727
scan:20	SNR:6.91244	Cov:0.75
scan:21	SNR:8.41584	Cov:0.472222
scan:22	SNR:7.29167	Cov:0.875
scan:23	SNR:10.9827	Cov:0.730769
scan:24	SNR:9.13706	Cov:0.642857
scan:25	SNR:12.5	Cov:0.333333
scan:26	SNR:14.3885	Cov:0.344828
scan:27	SNR:14.7727	Cov:0.764706
scan:28	SNR:7.84314	Cov:0.631579
scan:29	SNR:8.57143	Cov:0.267857
scan:30	SNR:6.73759	Cov:0.791667
scan:31	SNR:8.13953	Cov:0.466667
scan:32	SNR:11.5646	Cov:0.708333
scan:33	SNR:11.1702	Cov:0.583333
scan:34	SNR:11.245	Cov:0.823529
scan:35	SNR:7.17132	Cov:0.75
scan:36	SNR:10.9091	Cov:0.75
scan:37	SNR:14.0351	Cov:0.615385
scan:38	SNR:15.3846	Cov:0.857143
scan:39	SNR:5.5	Cov:0.392857
scan:40	SNR:8.51064	Cov:0.380952
scan:41	SNR:9.2233	Cov:0.413043
scan:42	SNR:9.48276	Cov:0.6875
scan:43	SNR:4.54545	Cov:0.294118
scan:44	SNR:18.0723	Cov:0.681818
scan:45	SNR:6.41711	Cov:0.222222
scan:46	SNR:8.41584	Cov:0.566667
scan:47	SNR:5.68862	Cov:0.95
scan:48	SNR:9.64912	Cov:0.6875
scan:49	SNR:12.5828	Cov:0.730769
scan:50	SNR:13.253	Cov:0.785714
scan:51	SNR:8.52018	Cov:0.413043
scan:52	SNR:29.5455	Cov:0.565217
scan:53	SNR:5.09554	Cov:0.615385
scan:54	SNR:9.375	Cov:0.75
scan:55	SNR:4.45344	Cov:0.392857
scan:56	SNR:8.22785	Cov:0.40625
scan:57	SNR:5.78947	Cov:0.203704
scan:58	SNR:8.06452	Cov:0.340909
scan:59	SNR:8.19672	Cov:0.681818
scan:60	SNR:8.47458	Cov:0.5
scan:61	SNR:5.08475	Cov:0.28125
scan:62	SNR:14.2857	Cov:0.473684
scan:63	SNR:8	Cov:0.4375
scan:64	SNR:4.27807	Cov:0.181818
scan:65	SNR:6.74157	Cov:0.375
scan:66	SNR:9.00901	Cov:0.714286
scan:67	SNR:8.7963	Cov:0.365385
scan:68	SNR:8.86076	Cov:0.875
scan:69	SNR:10.8696	Cov:0.416667
scan:70	SNR:10.6918	Cov:0.85
scan:71	SNR:7.00389	Cov:0.5625
scan:72	SNR:7.08661	Cov:0.6
scan:73	SNR:10.9195	Cov:0.791667
scan:74	SNR:9.60452	Cov:0.944444
scan:75	SNR:12.0567	Cov:0.653846
scan:76	SNR:6.03015	Cov:0.333333
scan:77	SNR:7.29927	Cov:0.714286
scan:78	SNR:15.3153	Cov:1.21429
scan:79	SNR:9.18919	Cov:0.354167
scan:80	SNR:9.58084	Cov:0.888889
scan:81	SNR:7.35294	Cov:1.07143
scan:82	SNR:6.16114	Cov:0.342105
scan:83	SNR:10.2679	Cov:0.71875
scan:84	SNR:13.3333	Cov:0.818182
scan:85	SNR:15.8537	Cov:0.209677
scan:86	SNR:13.8889	Cov:0.78125
scan:87	SNR:5.05051	Cov:0.2
scan:88	SNR:8.2397	Cov:0.846154
scan:89	SNR:6.28272	Cov:0.25
scan:90	SNR:13.9706	Cov:0.791667
scan:91	SNR:10.7595	Cov:0.607143
scan:92	SNR:9.65909	Cov:0.85
scan:93	SNR:22.0588	Cov:0.441176
scan:94	SNR:10.5263	Cov:0.692308
scan:95	SNR:21.7391	Cov:0.625
scan:96	SNR:5.73248	Cov:0.692308
scan:97	SNR:5.85938	Cov:0.75
scan:98	SNR:9.12863	Cov:0.478261
scan:99	SNR:9.87654	Cov:0.631579
scan:100	SNR:26.25	Cov:0.7
scan:101	SNR:10.3627	Cov:0.333333
scan:102	SNR:7.46269	Cov:0.75
scan:103	SNR:9.20502	Cov:0.785714
scan:104	SNR:7.9602	Cov:0.533333
scan:105	SNR:8.02139	Cov:0.75
scan:106	SNR:6.08108	Cov:0.145161
scan:107	SNR:6.29921	Cov:0.275862
scan:108	SNR:10.8491	Cov:0.821429
scan:109	SNR:11.9403	Cov:0.8
scan:110	SNR:5.84416	Cov:0.409091
scan:111	SNR:14.8148	Cov:0.363636
scan:112	SNR:9.33333	Cov:0.7
scan:113	SNR:9.20245	Cov:0.340909
scan:114	SNR:10.2703	Cov:0.527778
scan:115	SNR:9.39227	Cov:0.653846
scan:116	SNR:10.3448	Cov:0.807692
scan:117	SNR:10.8434	Cov:0.9
scan:118	SNR:10.0559	Cov:0.75
scan:119	SNR:6.92308	Cov:0.818182
scan:120	SNR:22.2222	Cov:0.571429
scan:121	SNR:4.07407	Cov:0.275
scan:122	SNR:6.66667	Cov:0.36
scan:123	SNR:20.202	Cov:0.769231
scan:124	SNR:11.8012	Cov:0.863636
scan:125	SNR:7.94393	Cov:0.425
