scan:1	SNR:6.47249	Cov:0.454545
scan:2	SNR:8.26087	Cov:0.678571
scan:3	SNR:7.85714	Cov:0.445946
scan:4	SNR:9.00621	Cov:0.517857
scan:5	SNR:5.08475	Cov:0.5
scan:6	SNR:4.46429	Cov:0.625
scan:7	SNR:7.28863	Cov:0.5
scan:8	SNR:28.125	Cov:0.333333
scan:9	SNR:10.582	Cov:0.526316
scan:10	SNR:4.79233	Cov:0.535714
scan:11	SNR:5.23077	Cov:0.314815
scan:12	SNR:7.08333	Cov:0.607143
scan:13	SNR:4.3131	Cov:0.482143
scan:14	SNR:7.62332	Cov:0.944444
scan:15	SNR:7.44186	Cov:0.666667
scan:16	SNR:6.32411	Cov:0.666667
scan:17	SNR:13.2479	Cov:0.516667
scan:18	SNR:5.31915	Cov:0.625
scan:19	SNR:4.95868	Cov:0.375
scan:20	SNR:6.77966	Cov:0.769231
scan:21	SNR:4.86486	Cov:0.6
scan:22	SNR:18.6275	Cov:0.527778
scan:23	SNR:5.44218	Cov:0.571429
scan:24	SNR:16.8605	Cov:0.537037
scan:25	SNR:5.11182	Cov:0.8
scan:26	SNR:5.81395	Cov:1.04167
scan:27	SNR:8.65052	Cov:1.38889
scan:28	SNR:4.45682	Cov:0.8
scan:29	SNR:7.16418	Cov:0.571429
scan:30	SNR:5.09978	Cov:0.766667
scan:31	SNR:4.19162	Cov:0.583333
scan:32	SNR:10.8844	Cov:0.444444
scan:33	SNR:8.20895	Cov:0.916667
scan:34	SNR:5.83658	Cov:0.75
scan:35	SNR:6.70926	Cov:0.4375
scan:36	SNR:21.7054	Cov:0.482759
scan:37	SNR:5.09554	Cov:0.533333
scan:38	SNR:10.6509	Cov:0.473684
scan:39	SNR:9.87124	Cov:0.638889
scan:40	SNR:5.82011	Cov:0.733333
scan:41	SNR:5.85106	Cov:0.5
scan:42	SNR:4.7619	Cov:0.636364
scan:43	SNR:5.46624	Cov:0.607143
scan:44	SNR:15.1786	Cov:0.472222
scan:45	SNR:11.9205	Cov:0.5625
scan:46	SNR:7.36196	Cov:0.571429
scan:47	SNR:6	Cov:0.617647
scan:48	SNR:4.8433	Cov:0.708333
